Headline,Clickbait,Outlet
Babylon Bee Nails It on April Fool's Day with Official 'Apology' for Calling Rachel Levine a Man,Yes,Western Journal
Ford Announces Major Vehicle Recall Due to Dangerous Defects on Numerous Models,Yes,Western Journal
Game-Changer: 'Rigged' Film on 2020 Election Proves We Were Right - See the Preview Here,Yes,Western Journal
Report: Jen Psaki Is Headed for the White House Exit,Yes,Western Journal
"Dog Escapes Doggy Daycare While Owner Is on Vacation, Takes Self Home and Rings Doorbell",Yes,Western Journal
Disney's Battle with DeSantis Proves Costly as Florida Officials Look to Revoke Company's 'Self-Governing' Status,Yes,Western Journal
DeSantis Announces Major Lawsuit Against Biden Administration,Yes,Western Journal
Biden Claims $5.8T Budget Proposal Cuts Deficit and Reduces 'Inflationary Pressures',Yes,Western Journal
Fox News Guest: 'Horse's A** Biden' Was Defeated by a Piece of Pizza in Front of the Entire World,Yes,Western Journal
The Blunder Heard Around the World: World Leaders Forced to Rebuke Biden's Call for Regime Change in Russia,Yes,Western Journal
"Lying or Dementia: Biden Says 3 Incidents Didn't Occur on Foreign Trip, But We Have the Devastating Video",Yes,Western Journal
Biden Resorts to 'Cheat Sheet' as He Attempts to Smooth Over His Controversial Putin Comments,Yes,Western Journal
"Video: Russia Launches Spectacular Missile Strike After Biden Demands Putin Ouster, Regime Change",Yes,Western Journal
Athletes Notice Incredibly Creepy People as They Wander Communist China's Olympic Village,Yes,Western Journal
"'Canceled' Country Music Superstar Returns, Takes Stage to Raucous Chants of 'Let's Go Brandon' - Video",Yes,Western Journal
Breaking: Bob Saget's Cause of Death Revealed - It's Not What Authorities Thought,Yes,Western Journal
"Financial Dystopia: People Now Financing Pizza, Coffee Purchases",Yes,Western Journal
Dean Cain: Nothing 'Bold or Brave' In Making Superman Bisexual,Yes,Western Journal
"As US Border Crisis Rages On, Kamala Harris Is Headed to Europe to Discuss the Border Crisis There",Yes,Western Journal
"Illegal Alien Faked Being a Minor While Crossing Border, Now He's Charged with Murdering FL Man: Report",Yes,Western Journal
Elderly Woman Robbed at Gunpoint After Opening Door for Group of 'Candy Sellers',Yes,Western Journal
Police Department Unleashes on Judge After Suspect in Two Murder Cases Is Set Free,Yes,Western Journal
"NYC Man Allegedly Assaults 9-Year-Old Girl, But an Unlikely Hero Steps In to Save the Day",Yes,Western Journal
33 Practical Baby Products That Are Also Quite Cute,Yes,Buzzfeed
Tell Us Which Beauty Tip Or Trick Your Abuela And/or Latinx Mamá Taught You That You Still Do Today,Yes,Buzzfeed
"30 Parenting Products Reviewers Say Make Life ""Easier""",Yes,Buzzfeed
People Are Freaking Out Over This Baby's Pulsing Head — Here's What It Actually Is,Yes,Buzzfeed
15 Things That Made My Life As A New Mom Easier,Yes,Buzzfeed
Kylie Jenner And So Many Other Celebs Have Gotten Real About Their Struggle With Mental Health After Giving Birth,Yes,Buzzfeed
15 Screenshots That Give You An Inside Look At The Dark Side Of Mommy Facebook Groups,Yes,Buzzfeed
21 Life-Changing Things People Were Able To Do Thanks To The Student Loan Pause,Yes,Buzzfeed
Period Sex Is Actually Amazing — Here’s Everything You Need To Know About Having It,Yes,Buzzfeed
Let’s Fight About Whether These Wedding Requests Are Obnoxious Or Reasonable,Yes,Buzzfeed
"People Are Sharing Things They Don't Do Anymore Because Of COVID, And It's A Reminder How Much Our Lives Have Genuinely Changed These Past Two Years",Yes,Buzzfeed
Brother and Sister Swap Closets For a Week,Yes,Buzzfeed
Get Ready With Me While I Answer Your Assumptions | Vivian,Yes,Buzzfeed
"37 Things That Are Probs Good To Keep On Hand This Spring, Just In Case",Yes,Buzzfeed
31 Things From Amazon That Reviewers Say Made A Huge Difference In Their Home,Yes,Buzzfeed
15 Awkward Moments From The 2022 Grammys,Yes,Buzzfeed
"""SNL"" Spoofed The Will Smith-Chris Rock Oscars Slap And Nailed It",Yes,Buzzfeed
"Every Channing Tatum Movie Performance, Ranked",Yes,Buzzfeed
"I Want To Know Your Most Divisive ""Bridgerton"" Opinions",Yes,Buzzfeed
"Cole Sprouse And Lana Condor Took A Test To See How Well They Know Each Other, And Honestly, I'm Impressed",Yes,Buzzfeed
"Here Are Some Guys From Season 2 Of ""Bridgerton,"" But Let's Collectively Decide If They're Hot Or Not",Yes,Buzzfeed
"These 10 Celebs Decided To Revive Their Past Characters, While These 10 Others Chose To Leave Them Behind",Yes,Buzzfeed
13 Actors Who All Decided To Retire From Acting Way Earlier Than Everyone Expected,Yes,Buzzfeed
"Order A Madame Delacroix Original Dress From ""Bridgerton"" And We'll Guess What Your Zodiac Element Is",Yes,Buzzfeed
"Most People Can't Plan A ""Bridgerton"" Ball Extravagant Enough To Impress The Queen — Let's See If You Can Rise To The Occasion",Yes,Buzzfeed
"If You Really Loved ""Turning Red,"" Then You Can't Miss This Trivia Quiz",Yes,Buzzfeed
"Here Are All The TV Shows And Movies Where You've Seen The Cast Of ""Deep Water""",Yes,Buzzfeed
"21 ""Moon Knight"" Details From Episode 1 That Are Small, Smart, And You Might've Missed Them The First Time Around",Yes,Buzzfeed
"19 Hilarious And Relatable Reactions To ""X""",Yes,Buzzfeed
16 Problematic Movie Scenes That Age Worse With Every Passing Day,Yes,Buzzfeed
25 Sneaky And Easy-To-Miss Disney Movie Details That You Most Likely Didn't Notice The First Time Around,Yes,Buzzfeed
"Stephen King's ""It"" Is Getting A Prequel Series On HBO Max",Yes,Buzzfeed
"Amy Schumer Finally Commented On Will Smith Slapping Chris Rock At The Oscars, And Said ""The Whole Thing Was So Disturbing""",Yes,Buzzfeed
"Zoë Kravitz Called Out Will Smith For Slapping Chris Rock At The Oscars, And Is Now Facing Backlash",Yes,Buzzfeed
Pretend To Fit In With The Bridgertons And We'll Reveal What Lady Whistledown Has To Say About You,Yes,Buzzfeed
"Here's Where You've Seen The Cast Of ""Moon Knight""",Yes,Buzzfeed
"Spend A Day Doing Some ""Bridgerton"" Activities And I'll Give You An Exclusive Title",Yes,Buzzfeed
"I Know Which Guy From ""Bridgerton"" You'd End Up With Based On This Quiz",Yes,Buzzfeed
"14 Times ""Spider-Man: No Way Home"" Addressed Mental Health",Yes,Buzzfeed
Let's See How Many Of Jessica Chastain's Big- And Small-Screen Performances You've Watched,Yes,Buzzfeed
"I Genuinely Can’t Watch ""The Hunger Games"" The Same Way Again After Reading These BTS Facts",Yes,Buzzfeed
"""'The Power Of The Dog' Is A Weird Movie Title,"" And 95 More Thoughts I Had While Watching It",Yes,Buzzfeed
This Artist Turns Disney Princesses Into Emo Girls And I'm Transported To The '00s,Yes,Buzzfeed
"23 ""Bridgerton"" Cast Members In Their First Major Role Vs. On The Show Vs. In Real Life",Yes,Buzzfeed
"You've Seen ""Mean Girls"" A Thousand Times, But Do You Have Enough Knowledge To Pass This Cady Heron Quiz?",Yes,Buzzfeed
"""Bridgerton"" Star Simone Ashley Learned How To Give Herself And Her Castmates Tattoos After Watching A Prison Video",Yes,Buzzfeed
Tell Us A Little About Yourself And We'll Reveal Which Iconic Blonde Character You're Most Like,Yes,Buzzfeed
Literally Just 19 Adorable Andrew Garfield Moments From This Awards Season,Yes,Buzzfeed
"16 Differences Between ""The Viscount Who Loved Me"" Book And ""Bridgerton” Season 2",Yes,Buzzfeed
"29 Oscars Acceptance Speeches That Were So Wholesome Or Jaw-Dropping, We're Still Talking About Them",Yes,Buzzfeed
"17 Marvel Cinematic Universe Fan Theories That Never Panned Out, Despite The Fact That Some Of Them Are Genius",Yes,Buzzfeed
Don't Freak Out When I Guess Your Exact Location Using These 10 Questions,Yes,Buzzfeed
"Hollywood Has Made Women Do Some Pretty Unrealistic Things In Movies, And Here Are 32 Solid Examples If You Decide To Disagree",Yes,Buzzfeed
"This Bride Charged Each Guest $75 For Their Dinner Plate At Her Wedding, And People Are Saying It's Actually Becoming A Common Thing",Yes,Buzzfeed
Lady Gaga Is Being Praised For Getting On The Literal Floor To Make Sure SZA’s Dress Looked Perfect When She Beat Her At The Grammys A Week After Her Sweet Oscars Display With Liza Minnelli,Yes,Buzzfeed
I Basically In Tears Because Jazmine Sullivan Just Won Her First Pair Of Grammys – And A Win For Jazmine Is A Win For Black Women,Yes,Buzzfeed
Mila Kunis Revealed The Important Conversation She Had With Her 5- And 7-Year-Old Kids About Ukraine And Why She And Ashton Kutcher Made The “Overnight” Decision To Embrace Their Kids’ Heritage,Yes,Buzzfeed
Machine Gun Kelly Revealed He “Totally” Supported Pete Davidson While Kanye West Was Sharing A Bunch Of Scathing Posts Calling Him “Skete” And Accusing Him Of Destroying His Family,Yes,Buzzfeed
“Euphoria” Actor Chloe Cherry Has Shut Down Rumors She Was Cast After Sam Levinson Saw Her In A Porn Parody Of The Show And Revealed She’d Already Landed The Role When She Filmed It,Yes,Buzzfeed
Do Me A Favor And Don’t Freak Out When I Guess Your Age Based On Your Smash Or Pass Preferences,Yes,Buzzfeed
Will Smith Slapped Chris Rock At The Oscars A Few Days Ago And Daniel Radcliffe Is Ready To MOVE ON,Yes,Buzzfeed
Fran Drescher Saying She Had A Fight With A Guy About How They'd Raise Their Imaginary Child And Then Swearing Off Dating Apps Is All Too Real,Yes,Buzzfeed
"Khloé Kardashian's Style Has Changed So Much Since The Early Days Of ""KUWTK"" — See Her Complete Evolution",Yes,Buzzfeed
9 Celebrities Who Say They've Been In An Open Relationship At One Point Or Another,Yes,Buzzfeed
Here’s What Happened In The Immediate Aftermath Of Will Smith Smacking Chris Rock At The Oscars And It’s Seriously Messy,Yes,Buzzfeed
Khloé Kardashian Subtly Supported Rob Kardashian And Shared A Bunch Of Videos With His Daughter Dream After Blac Chyna Claimed She Gets “No Support” As A Single Mother,Yes,Buzzfeed
Ashley Tisdale Made Her Husband Buy 400 Books For A Magazine Photo Shoot Which Ignited A Huge Debate About Books As Decor,Yes,Buzzfeed
"Jada Pinkett Smith Seemingly Laughed After Will Smith Slapped Chris Rock At The Oscars, According To New Footage Taken From The Audience",Yes,Buzzfeed
21 Celebrity Bromances That Are Equal Parts Surprising And Pure,Yes,Buzzfeed
This Smash Or Pass Quiz Will Determine Which US Presidents You Think Are Hot,Yes,Buzzfeed
22 Celebs Who’ve Talked About Growing Up Poor,Yes,Buzzfeed
36 Oscars Looks That Are The Crème De La Crème Of Fashion,Yes,Buzzfeed
"Tony Rock Confirmed That His Brother, Chris Rock, Did Not Reconcile With Will Smith After Being Slapped",Yes,Buzzfeed
43 Celebrities Who I'm 99.9% Sure You Didn't Know Or Totally Forgot Changed Their Name For Fame,Yes,Buzzfeed
Khloé Kardashian Hit Back At Claims She’s “Not Important” Compared To Her Sisters And Once Again Denied Reports That She Doesn’t Get Invited To The Met Gala,Yes,Buzzfeed
"Zoë Kravitz Is Trending After She Shaded Will Smith For “Assaulting People On Stage,” And People Began Circulating Her Past Comments About Then–14-Year-Old Jaden Smith",Yes,Buzzfeed
A Video Of Chris Rock Opening Up About Suffering Sexual Assault From School Bullies As A Child Has Resurfaced Online After He Was Smacked By Will Smith,Yes,Buzzfeed
18 One-In-A-Million Coincidences That Prove The Universe Has A Sick Sense Of Humor,Yes,Buzzfeed
"This Man Wants To Know If He's Wrong For Demanding His Girlfriend To Change Dresses For A Wedding They Were Invited To, And I Need To Know What You Think",Yes,Buzzfeed
"8 Scammers Who Will Go Down In History, From The Wolf Of Wall Street To A Grifter Who Might Have Inspired Anna Delvey",Yes,Buzzfeed
This Woman's Sterilization Journey Went Mega Viral And Opened A Conversation About Women Choosing Child-Free Lives,Yes,Buzzfeed
"27 ""Whoops, I Sent That On Accident"" Screenshots That Are Embarrassing And Annoying To Read",Yes,Buzzfeed
"Katy Perry Explained Why We've All Been Singing ""Firework"" Wrong This Entire Time, And My Mind Is Blown",Yes,Buzzfeed
Machine Gun Kelly Is Setting The Record Straight About That TikTok Claiming He Doesn't Play His Guitar,Yes,Buzzfeed
This Poll Will Be Painfully Tough For Stray Kids Fans Because I'm Asking You To Choose Between These Awesome Songs,Yes,Buzzfeed
"Only People Born In The '70s, '80s, Or '90s Can Name All 10 Of These Musicians Whose Names Start With ""E""",Yes,Buzzfeed
Can You Name Taylor Swift's Albums In Order?,Yes,Buzzfeed
"Travis Barker's 19-Year-Old Son Is Literally His Mini-Me, And 29 Other Kids Of Popular Musicians Who Are Their Clones",Yes,Buzzfeed
"Camila Cabello Is Poking Fun At Herself After A Big Wardrobe Malfunction: ""Least They're Cute Tho""",Yes,Buzzfeed
"Sorry Swifties, It's Time To Play Taylor Swift ""This Or That""",Yes,Buzzfeed
"If You Can't Identify 3/5 Of These Songs' Artists, Then You're Definitely Over 27 Years Old",Yes,Buzzfeed
"You Can Only Save One Song Per Disney Movie, While The Rest Will Be Deleted Forever",Yes,Buzzfeed
Stop What You're Doing And Learn Some Facts About Ariana DeBose Because She Is The Moment And Deserves Your Attention,Yes,Buzzfeed
"65 Pictures Of 2000s Things Millennials Have Forgotten About, But Will Remember Immediately When Seeing Them",Yes,Buzzfeed
25 Unpopular Book Opinions That Are As Interesting As They Are Controversial,Yes,Buzzfeed
39 Jaw-Dropping Facts I Learned In March That I Will Truly Never Be Able To Forget,Yes,Buzzfeed
13 Of The Most Memorable Duos In Canadian History,Yes,Buzzfeed
"We Asked The ""Bridgerton"" Cast To Take A Regency Themed Quiz, And Now You Can Too",Yes,Buzzfeed
"People Are Sharing Things That Used To Signal You Were Upper Class, And Now Signal That You're Lower Class",Yes,Buzzfeed
15 Moments That'll Remind You That Andrew Garfield Is The Most Adorable Human To Ever Exist,Yes,Buzzfeed
15 Fascinating Behind-The-Scenes Facts About How Pixar Made Some Of Their Most Iconic Scenes Come Together,Yes,Buzzfeed
45 Pictures Of The Vanity Fair After-Party From Exactly 20 Years Ago That Are A Much-Needed Timeline Cleanse,Yes,Buzzfeed
15 Books With Noteworthy Disabled Leads,Yes,Buzzfeed
"How Howard Ashman Gave Ariel Her Voice In ""The Little Mermaid”",Yes,Buzzfeed
"""Euphoria"" Star Barbie Ferreira Discussed The Difficulty Of Finding Clothes That Fit: ""I Have All The Resources In The World To Get Something That Fits, And It’s Still Extremely Difficult""",Yes,Buzzfeed
27 Children's Books That Anyone Of Any Age Will Want To Read Over And Over Again,Yes,Buzzfeed
Celebrate Black Love During Black History Month With These 20 YA Books,Yes,Buzzfeed
Government in BritainBoris Johnson treats checks and balances with contempt,No,The Economist
Fantastic FourNaval drills in the Indian Ocean give bite to the anti-China “Quad”,No,The Economist
House partyHow long can the global housing boom last?,No,The Economist
Spinning aroundThe private-markets party reaches fever pitch,No,The Economist
‘I’m Really Disgusted with Republicans Who Are Telling Us to Move On…The Base Feels as Though a Massive Civil Injustice Was Done to Them” – Charlie Kirk from Turning Point USA on 2020 Election Fraud,Yes,The Gateway Pundit
"One Dead, 11 Wounded, Including Children After Gunfire Erupts at Rap Festival in Dallas",Yes,The Gateway Pundit
German Man Under Investigation After Getting 90 Covid Shots in Order to Sell Forged Vaccine Passes,Yes,The Gateway Pundit
Hillary Clinton Says She Doesn’t Understand Why Joe Biden’s Poll Numbers Are So Low (VIDEO),Yes,The Gateway Pundit
ABC’s Jon Karl Fact Checks Biden on “Putin’s Price Hike” – “Most American’s Aren’t Buying It” (VIDEO),Yes,The Gateway Pundit
"N.H. Gov. Chris Sununu Trashes President Trump at DC Swamp Gridiron Dinner, “He’s F***ing Crazy!”",Yes,The Gateway Pundit
George Stephanopoulos Confronts Biden’s Chief of Staff About Deals Hunter Biden Had with Chinese Energy Company (VIDEO),Yes,The Gateway Pundit
"HUGE: Former AG Barr Stopped Investigations into Trailer Load of 288,000 Ballots into PA from New York in 2020 Election – Barr Refused to Provide Whistleblower Protection – Now the USPS Won’t Provide Investigation Report – What Gives?",Yes,The Gateway Pundit
"Sen. Ron Johnson: NYT, WaPo, Liberal Media Implicated Coverup of Biden Family Crimes (VIDEO)",Yes,The Gateway Pundit
Wisconsin Congressional District 6 GOP Event Participants Vote to Decertify the 2020 Election Results and for Speaker Vos to Resign,Yes,The Gateway Pundit
"“21,000 Outside Trying to Get In!” – President Trump’s Rally Saturday Night in Michigan is Massive",Yes,The Gateway Pundit
“What We Have Learned Is the Government Has Not Been Honest with Us” – Senator Rand Paul at the Globalism Rising Event at Regent University,Yes,The Gateway Pundit
House Republicans Call in Hunter Biden to Testify on African Cobalt Mining and His “Expertise” on EV Batteries,Yes,The Gateway Pundit
Tommy Robinson Detained in Cancun – is Failing Joe Biden Behind it?,Yes,The Gateway Pundit
A STAR IS BORN: ‘Savage Angel’ Kristina Karamo STEALS THE NIGHT at President Trump’s Massive Michigan Rally (VIDEO),Yes,The Gateway Pundit
Trump Mocks Crooked Hillary: “The Most Angry Person Anywhere in the Country is Hillary Clinton” (VIDEO),Yes,The Gateway Pundit
Pentagon Announces Additional $300 Million in Aid for Ukraine,Yes,The Gateway Pundit
"Hope Solo Arrested on DUI, Child Abuse Charges After She Was Found Passed Out in Her Car with Her Twins",Yes,The Gateway Pundit
President Trump Comes Out Swinging in Michigan: “The Election Was Rigged and Stolen and Because of that Our Country is Being Destroyed” (VIDEO),Yes,The Gateway Pundit
MUST SEE: Newly Released Court Transcripts Reveal Radical SCOTUS Pick Ketanji Brown Jackson Apologizing After Giving 3-month “Slap on the Wrist” to One “Egregious Offender”,Yes,The Gateway Pundit
Biden Telling Staffers He Wants the Justice Department to Prosecute Trump,Yes,The Gateway Pundit
"LIVE-STREAM VIDEO: President Trump To Deliver Remarks in Washington Township, Michigan At 7 PM ET – THOUSANDS Turn Out To See America First President",Yes,The Gateway Pundit
Far-Left Journalist Breaks Down in Tears and Claims She Suffers Severe “PTSD” from Mean Tweets (VIDEO),Yes,The Gateway Pundit
Trump Social Inadvertently Uncovers Massive Censoring on Twitter of Conservative Websites,Yes,The Gateway Pundit
New York City Mask Mandate For Toddlers to Remain in Place Due to ‘Uptick’ in Covid Cases,Yes,The Gateway Pundit
FOX News Interviews Ukrainian President Zelensky – Edits Out Him Responding to Azov Battalion Atrocities “They Are What They Are”,Yes,The Gateway Pundit
UPDATE: Washington Post Apparently Canceled “Hit Piece” After Energy Author Fought Back,Yes,The Gateway Pundit
Gang of Thieves Ransack Gucci Store on Chicago’s Mag Mile One Day After Robbing Burberry,Yes,The Gateway Pundit
70-Year-Old Grandmother: “I’ve Had to Go Back to Work” Due to Bidenflation (VIDEO),Yes,The Gateway Pundit
Security Expert To Joe Rogan: “Government Wins From A Frightened Population — All The Time” (VIDEO),Yes,The Gateway Pundit
Former Twitter CEO Jack Dorsey Says He is “Partially to Blame” for the Destruction of Internet Today and Regrets It,Yes,The Gateway Pundit
Disney Heiress Tried To Defend Company’s Wokeness – It Didn’t End Well,Yes,The Gateway Pundit
Joe Biden’s Teleprompter Is Taking over His Special White House Studio Set,Yes,The Gateway Pundit
Blue State Dems Lose Two Gerrymandered Maps In The Courts — Courts Say Maps Were Too Biased,Yes,The Gateway Pundit
WAYNE ROOT: “DEFUND DISNEY”,Yes,The Gateway Pundit
STRUCK DOWN: California Law Requiring Racial And LGBT Corporate Board Members Deemed Unconstitutional,Yes,The Gateway Pundit
Trainwreck: Kamala Harris Rambles For Two Minutes When Asked About Biden’s Remark Calling For Putin’s Removal (VIDEO),Yes,The Gateway Pundit
Even Democrats Call Out Biden For Ending Trump Border Policy That Allowed For Rapid Expulsion — “A Frightening Decision”,Yes,The Gateway Pundit
An Inside Look At Biden’s Weird And Fake White House Studio (VIDEO),Yes,The Gateway Pundit
Good Riddance: “Some” Florida Teachers Leave Profession Because they Can’t Teach Kindergarteners About Sex and Show Dirty Books,Yes,The Gateway Pundit
House Oversight Committee Republicans Demand Access to Communication Records Between Hunter Biden and Obama White House – Biden Crime Family Has “Profited From Joe Biden’s Positions of Public Trust For Decades”,Yes,The Gateway Pundit
LAWRENCE SELLIN EXCLUSIVE: Are the Ukrainian Biolabs Another US Military-Industrial-Complex Money Scam Involving the Bidens or Biowarfare Facilities or Both?,Yes,The Gateway Pundit
Dean Michele Bachmann Talks About the Ominous Rise of Global Government,Yes,The Gateway Pundit
BIDEN ECONOMY: First Quarter of 2022 Was Worst Quarter for the Markets Since COVID Lockdowns,Yes,The Gateway Pundit
Migrants En Route to United States Border Use Giant Cross as Battering Ram to Break Through National Guard Lines (VIDEO),Yes,The Gateway Pundit
"Wisconsin Attorney Erick Kaardal, Special Counsel for Thomas More Society, Files Complaint with Elections Commission on Behalf of Senior Whose 2020 Vote was Stolen",Yes,The Gateway Pundit
"Chelsea Clinton Attacks Trump Over His Weight, Says the Republican Party is the Party of “White Supremacists” (VIDEO)",Yes,The Gateway Pundit
HUGE: Arizona Republicans Pass HB2492 Requiring ALL Voters To Provide Proof Of Citizenship Upon Registering To Vote,Yes,The Gateway Pundit
Now Live: The Revamped MyPillow Online Store With TGP Discounts Page — Use Promo Code “TGP” And Get Up To 75% Off!,Yes,The Gateway Pundit
WATCH: Disney Executive Producer Admits She Regularly ‘Adds Queerness’ to Children’s Programming,Yes,The Gateway Pundit
“Beyond the Pale For ANY Civilized Society to Consider” – Newly Introduced California Abortion Bill Could Legalize Infanticide For Several Weeks After Birth,Yes,The Gateway Pundit
"It All Comes Together: Hunter, Burisma, Kolomoisky, Zelensky and the “Children Burned Alive in Donetsk”",Yes,The Gateway Pundit
Nine-Term Nebraska GOP Rep. Convicted of Lying to FBI About Foreign Campaign Contribution – Defense Argued FBI “Set Up” Congressman,Yes,The Gateway Pundit
HUGE: GOP Donor Confidante Goes Public — Accuses Karl Rove as Man Behind Disgusting Hit Piece on Missouri Senate Candidate Eric Greitens,Yes,The Gateway Pundit
Epic! Candace Owens Calls Out New York Times — Uses their Own Words Against Them in Brutal Takedown,Yes,The Gateway Pundit
Elderly Woman Robbed at Gunpoint After Three Suspects Approach Her Home Posing as Candy Sellers,Yes,The Gateway Pundit
New Study Shows Microplastics Found in Human Blood for the First Time in History,Yes,The Gateway Pundit
January 6 Committee Leaks Ginni Thomas’ Texts While Husband Clarence Thomas Hospitalized,Yes,The Gateway Pundit
Texas Democrat Filemon Vela Resigns Early from Congress — 31 Democrats Not Seeking Reelection,Yes,The Gateway Pundit
Joe Biden Announces Sanctions on Russian Officials – Then Tells Europeans “Sanctions Never Deter” in NATO Speech on Russia (VIDEO),Yes,The Gateway Pundit
"US Marine Veteran Micajah Jackson Sentenced to 90 Days in Halfway House, 3 Yrs Probation and $1,500 in Fines for Walking Inside US Capitol on Jan. 6",Yes,The Gateway Pundit
Jeff Bezos’ Ex-Wife Just Made the Largest Donation to Planned Parenthood in the Organization’s History,Yes,The Gateway Pundit
Biden Says the Quiet Part Out Loud: “I Came to Congratulate a Man Who Just Got Re-Elected without Opposition! I Dream About That Some Day!” (VIDEO),Yes,The Gateway Pundit
"Biden Mumbles About Nazis, Repeats ‘Very Fine People Hoax’ When Asked About Trump at NATO Summit (VIDEO)",Yes,The Gateway Pundit
"Meanwhile… Chinese Foreign Minister Flies to Kabul, Afghanistan and Plants a Tree with Taliban Government Leaders",Yes,The Gateway Pundit
NYC Mayor Adams Confronted by Angry City Workers Fired Because of His Vaccine Mandate (VIDEO),Yes,The Gateway Pundit
Hunter Biden’s Wife Vacations at Ipanema Beach in Brazil with Six Secret Service Agents in Tow – In Town for Orphaned Starfish Benefit,Yes,The Gateway Pundit
"Republican Darrell Issa Sends Notice to White House, Big Tech and Intel Community to Keep All Records Related to Hunter’s Laptop from Hell",Yes,The Gateway Pundit
“GUILT BY ASSOCIATION!” NYPD Cop Politically Persecuted for Befriending Roger Stone and Supporting President Trump – “IT’S A TWO TIERED JUSTICE SYSTEM!” Video Interview!,Yes,The Gateway Pundit
"Lying Democrats Harass, Smear and Investigate Trump for “Inflating” Assets – Then Discover Trump Organization Undervalued Assets Instead",Yes,The Gateway Pundit
What Our Fathers Did–A NAZI Legacy in Ukraine,Yes,The Gateway Pundit
In Recognition of the NY Times Admitting Hunter’s Laptop Was Real – A Special Figurine Commemorating Hunter’s Most Iconic Laptop Pic,Yes,The Gateway Pundit
We Now Know Why Biden Called a Man “Fat” and Challenged Him to a Pushup Contest in 2019 When He Accused Biden and Hunter of Pay-to-Play in Ukraine,Yes,The Gateway Pundit
Far Left Control Freak Gets in Front of Trucker Convoy on His Bike and Pedals Slowly to Agitate Truckers,Yes,The Gateway Pundit
"Tucker Carlson Calls Out Zelensky for Seizing Control of Ukraine’s Media Outlets and Banning Opposition Political Parties! “THIS IS AUTHORITARIANISM, IT’S NOT DEMOCRACY!”",Yes,The Gateway Pundit
Nonviolent Jan. 6 Proud Boy and Loving Family Man Loses Everything as He Rots in DC Gulag for Over a Year Now,Yes,The Gateway Pundit
Ukraine Admits To Placing Artillery In Residential Areas Following Russian Missile Strike,Yes,The Gateway Pundit
“That’s the Battle Across America. McConnell versus Trump in a War for the Heart and Soul of the Republican Party” – Mo Brooks on The War Room (VIDEO),Yes,The Gateway Pundit
POLL: Majority Of Voters Blame Joe Biden’s Policies For Inflation,Yes,The Gateway Pundit
"Miami Beach Declares State of Emergency, Imposes Curfew After Weekend of Spring Break Shootings",Yes,The Gateway Pundit
Psaki Warns World Will Suffer Food Shortages Due to Russia-Ukraine Conflict (VIDEO),Yes,The Gateway Pundit
Biden Says the Quiet Part Out Loud: “There’s Going to be a New World Order Out There and We’ve Gotta Lead It” (VIDEO),Yes,The Gateway Pundit
“I’d Be Honored to Replace Young” – Sarah Palin Says She Considers Running for Congress Following Alaska Rep’s Death (VIDEO),Yes,The Gateway Pundit
Judge Halts DC Law Allowing Minors to Get Vaccinated Without Parental Consent,Yes,The Gateway Pundit
“It’s Coming” – Joe Biden Casually Says Russia is Planning a Cyberattack Against the United States (VIDEO),Yes,The Gateway Pundit
Disney Shanghai Closes Due to Covid Surge,Yes,The Gateway Pundit
MUST WATCH: Hawley Outlines Seven Cases Where Ketanji Brown Jackson Was Lenient on Pedophiles,Yes,The Gateway Pundit
NEW: Apple Suffers Massive Global Outage,Yes,The Gateway Pundit
Montana Airport Calls Cops on Ted Cruz After Confrontation Over Missed Flight (VIDEO),Yes,The Gateway Pundit
"Kamala Harris Delivers Another Word Salad, Repeatedly Brings Up “The Significance of the Passage Time” (VIDEO)",Yes,The Gateway Pundit
"Grassley: White House Covering Up 48,000 Documents on SCOTUS Nominee Ketanji Brown Jackson (VIDEO)",Yes,The Gateway Pundit
ROGER STONE EXCLUSIVE: Fake News Media Distortion Never Ends – Jan 6 Smears Now Being Recycled,Yes,The Gateway Pundit
DEVELOPING: Psaki Tests Positive For Covid-19 After Two Meetings with Joe Biden,Yes,The Gateway Pundit
More Proof Democrats Hate America: SCOTUS Nominee Ketanji Jackson Defended Islamist Terrorists – Called US President a “War Criminal”,Yes,The Gateway Pundit
CNN’s Jeffrey ‘Zoomin’ Toobin Defends White House’s Narrative on Ketanji Brown Jackson’s Sentencing Guidelines For Child Porn Cases (VIDEO),Yes,The Gateway Pundit
Pope Francis Fudges Wording of Fatima’s Warning on the Consecration of Russia,Yes,The Gateway Pundit
BREAKING: Biden DOJ Spied on Project Veritas Journalists with Sealed Search Warrants – Then Concealed Communications from Federal Judge (VIDEO),Yes,The Gateway Pundit
Ketanji Brown Jackson Defends Her Record of Letting Pedophiles Off the Hook (VIDEO),Yes,The Gateway Pundit
Attorney for Eric Greitens Calls Accusations by Ex-Wife “Completely Fabricated” and “Baseless”,Yes,The Gateway Pundit
Attorney Davis: Democrats Are Acting Like “Groomers” in Defending Judge Ketanji Jackson’s Leniency of Child Predators and Child Porn Distributors (VIDEO),Yes,The Gateway Pundit
Mike Davis: Democrats and Dick Durbin Are Hiding Ketanji Brown Jackson’s Record on Child Predators-Child Porn Sentencing (VIDEO),Yes,The Gateway Pundit
WAYNE ROOT: Has One Rigged Election Destroyed America Forever? The Odds Are Against Us.,Yes,The Gateway Pundit
Champagne Socialist and Idiot AOC Is Mocked Online After Ranting About Capitalism in a Creepy ‘Joe Biden Whisper’ Voice,Yes,The Gateway Pundit
